"Dsyl_CEN_selection_time" "Dsyl_CEN_selection_density" "Dsyl_TCF1_selection_time" "Dsyl_TCF1_selection_density" "Dcar_TCF1_selection_time" "Dcar_TCF1_selection_density" "Dcar_FT_selection_time" "Dcar_FT_selection_density"
0.853874306517322 0.943038087119685 0.611488098279195 0.999157750179651 0.222180099156827 0.999714321105405 0.0917731667493191 0.999265949974732
0.859462205672998 0.939793267475803 0.620959226401121 0.99820186472773 0.231224664188999 0.999964453563189 0.106048179695907 0.999012216560333
0.865050104828675 0.936395147132865 0.630430354523047 0.996917053245319 0.24026922922117 1 0.120323192642496 0.99869442185547
0.870638003984351 0.932777325315469 0.639901482644974 0.995306064010148 0.249313794253341 0.999829144786104 0.134598205589085 0.998289816110772
0.876225903140027 0.928867028986343 0.6493726107669 0.993375434422165 0.258358359285513 0.999431281376719 0.148873218535673 0.997771657310734
0.881813802295703 0.924596385654401 0.658843738888826 0.99113612216904 0.267402924317684 0.998805014445099 0.163148231482262 0.997105271355674
0.887401701451379 0.919906656624342 0.668314867010752 0.988603960602184 0.276447489349855 0.997934412679676 0.177423244428851 0.99623335774569
0.892989600607055 0.914752047818097 0.677785995132678 0.985799901236981 0.285492054382027 0.996786127919679 0.19169825737544 0.995146997813363
0.898577499762732 0.909102886729377 0.687257123254605 0.98275001020999 0.294536619414198 0.99532021316951 0.205973270322028 0.993821288731552
0.904165398918408 0.902947971514181 0.69672825137653 0.979467193872765 0.30358118444637 0.993493525573759 0.220248283268617 0.992236390060865
0.909753298074084 0.896260215621818 0.706199379498456 0.976008826632288 0.312625749478541 0.991263724145121 0.234523296215206 0.990378576133325
0.91534119722976 0.889086401138473 0.715670507620383 0.972423394941811 0.321670314510712 0.988593541125889 0.248798309161795 0.98824102620271
0.920929096385436 0.88151703958487 0.725141635742309 0.968750036375303 0.330714879542884 0.985454981937901 0.263073322108383 0.985824337074003
0.926516995541112 0.873619737531654 0.734612763864235 0.965026458182518 0.339759444575055 0.981794290052357 0.277348335054972 0.983131608259141
0.932104894696788 0.865469560376439 0.744083891986161 0.961287200189479 0.348804009607226 0.97763032007197 0.29162334800156 0.980153402012529
0.937692793852465 0.857144369448954 0.753555020108087 0.957561913289421 0.357848574639398 0.973019462629436 0.30589836094815 0.976956054094932
0.943280693008141 0.848720180231107 0.763026148230014 0.953873719773768 0.366893139671569 0.968005367080311 0.320173373894738 0.973571822499233
0.948868592163817 0.840266789359534 0.77249727635194 0.950239082618063 0.375937704703741 0.962644255397594 0.334448386841327 0.970036863832457
0.954456491319493 0.83184390790979 0.781968404473866 0.946667718265501 0.384982269735912 0.957000967034392 0.348723399787915 0.966389989287024
0.960044390475169 0.823511433712568 0.791439532595792 0.94314166169277 0.394026834768083 0.95114432616675 0.362998412734505 0.962671384041988
0.965632289630845 0.815292024786176 0.800910660717718 0.939639350057925 0.403071399800255 0.945142146748318 0.377273425681093 0.958921313987944
0.971220188786521 0.807189064903474 0.810381788839644 0.93612963357421 0.412115964832426 0.93905620851544 0.391548438627682 0.955179493425013
0.976808087942198 0.799194066043034 0.81985291696157 0.932572937553954 0.421160529864598 0.932937925384203 0.40582345157427 0.951496049166164
0.982395987097874 0.791286635406346 0.829324045083496 0.928922804202862 0.430205094896769 0.92682600166277 0.420098464520859 0.947898908005254
0.98798388625355 0.783437032419597 0.838795173205423 0.925127761294962 0.439249659928941 0.920730801550578 0.434373477467448 0.944411453725371
0.993571785409226 0.775608921720908 0.848266301327349 0.921133458797575 0.448294224961112 0.914642368886875 0.448648490414037 0.94105061311149
0.999159684564902 0.767762135895506 0.857737429449275 0.916854893883869 0.457338789993283 0.908534727789448 0.462923503360625 0.937826347050941
1.00474758372058 0.75985355862422 0.867208557571201 0.912237692672889 0.466383355025455 0.902369009420623 0.477198516307214 0.934741312569901
1.01033548287625 0.751823273484463 0.876679685693127 0.907253921389857 0.475427920057626 0.896097476253549 0.491473529253803 0.931790702977207
1.01592338203193 0.743644200891568 0.886150813815053 0.90186909852717 0.484472485089797 0.889668134102287 0.505748542200392 0.928962764133412
1.02151128118761 0.735285448930091 0.895621941936979 0.896059030737519 0.493517050121969 0.883029590774906 0.52002355514698 0.92624717372016
1.02709918034328 0.726720472145595 0.905093070058905 0.88981104506405 0.50256161515414 0.876122541637692 0.534298568093569 0.923594037045837
1.03268707949896 0.71792694461934 0.914564198180831 0.883124847823482 0.511606180186312 0.868891773351349 0.548573581040158 0.920968161938733
1.03827497865464 0.708886553498139 0.924035326302758 0.876012992277979 0.520650745218483 0.861346076056204 0.562848593986747 0.918330593921135
